,missing_proportion,mean_mse,median_mse,knn_mse,mf_mse,nipals_mse,em_mse,mi_mse,mean_r2,median_r2,knn_r2,mf_r2,nipals_r2,em_r2,mi_r2
0,1,0.9304907781991885,0.9347038545973364,0.45224073589107966,1.132301328560991,0.9222556948052094,153.62153212883214,0.6811133398354465,0.9959979002075418,0.9946873552104429,0.9974367148952133,0.9985849940238551,0.9978629126059205,0.9874538340030959,0.9969107091956613
1,4,3.4714272538543667,3.488002282186991,18.898201689985374,15.219790579016703,3.499545249525157,624.8569453347561,4.01896875579812,0.9836662550296523,0.9786296748898897,0.9888328017240987,0.9923198547549626,0.991492500404609,0.9485392912869614,0.9879115700014159
2,7,7.326304339569903,7.353820545440682,312.3647422416564,2493.2040821345504,7.332658704516087,1161.252584528412,56.69030037077994,0.9714167214700744,0.9632052939564945,0.9747753759368685,0.9517780329111503,0.9849506356246616,0.9091840948638639,0.9721188359802179
3,10,499.3668049747894,499.69632421940787,533.7445540061912,1799.7928761936048,499.395908052082,2227.615691780852,612.201201013695,0.8465322335026684,0.834639595219784,0.8564471846514964,0.8525430038712407,0.8651354351654389,0.7653539088549678,0.8407154380253982
4,13,1889.6713574393987,1890.1415123157894,1896.0056839926078,1975.06644285046,1889.6147031879457,4037.936537229908,2078.0063675455863,0.8213470401718761,0.806479204914696,0.8393775231439775,0.8469739639052107,0.8430709377967567,0.7126043808396301,0.8332957938300695
5,16,16527.937808578088,16529.140237633277,16601.194238969296,16549.264535834947,16528.166388062233,17124.68836417568,16566.698288022802,0.7201491560813451,0.7007852616961239,0.7369186728300885,0.7558052136636608,0.7475065519661509,0.5982491728927757,0.7308586667643876
6,19,9800.24505561926,9801.454623961956,9860.299768004448,9820.559567207762,9800.93211591533,11652.938531615717,9876.832799192533,0.7808641076066019,0.7585589852811998,0.7968600665453295,0.8201212443145112,0.8036684037567443,0.6198797653771335,0.786950785926709
7,22,147.50513629421295,147.6216471913843,160.05093710060038,1836.4147761395009,983.7686449093259,4530.613666094558,195.44950066295206,0.9034167437444305,0.8764155499722971,0.9271649314998959,0.9227657154727152,0.39548386884811515,0.6838799942541127,0.9129404559427862
8,25,7854.11759857261,7854.720257376679,7901.870733864259,8017.500594376402,7858.4012430741695,10918.202940824627,7970.110354076634,0.7050468712926348,0.6748655440542689,0.7327190579260731,0.7460175113373803,0.7166814903475287,0.498642730536735,0.7043450929287717
9,28,565.4479883608183,565.9587498828735,582.177361156758,4587.532752197987,583.2975045236551,6534.859546954731,700.326279621829,0.8585150787840794,0.8249058149427897,0.8870559346980034,0.8290309395236042,0.875834194062653,0.5696760893595083,0.8721756217625103
10,31,964.2555363940925,965.11599864319,2885.6083778147686,4981.432353058709,583.2975045236551,7694.207779710285,969.6141935320333,0.8109938902005606,0.7745819501157918,0.8069397498676766,0.8124685057408338,0.875834194062653,0.48915363261029005,0.8238229929637695
11,34,1056.0816866491439,1056.894051300596,1718.8294626951385,8260.897725558552,583.2975045236551,8612.573830012847,1324.4789628193203,0.7591208075994349,0.718768950306037,0.7766665679962209,0.691980284580944,0.875834194062653,0.4190629408970296,0.7632065540164312
12,37,17870.76200707231,17872.853321145565,18096.034821260942,18306.117806776565,583.2975045236551,18969.70062167449,17882.271445155686,0.41067577206636396,0.36399417738531936,0.4351030374229353,0.45188665999011046,0.875834194062653,0.18648444763783606,0.41779498274119653
13,40,10092.992720536275,10094.159406246308,10165.715023890703,14503.30028325051,583.2975045236551,15117.686061812952,10130.59591071876,0.6988557022402825,0.6520218042161692,0.7300206341793398,0.6519585466510501,0.875834194062653,0.28732331826039276,0.6962564470274988
14,43,16790.25588149821,16792.019260612367,19635.84753693446,18638.700919407293,583.2975045236551,18881.83920206226,16848.96828374184,0.4818455396342901,0.4278411640055483,0.4575811043168837,0.43243576128113476,0.875834194062653,0.15148241357073133,0.4701605849476147
15,46,2417.9865912472374,2418.3843520827027,3222.32357754227,7882.048662437461,583.2975045236551,13654.144528124045,2455.3307545048056,0.6682355923851113,0.6135875206924174,0.6284841872789512,0.6362979597007775,0.875834194062653,0.16502559727882682,0.6529644822851834
16,49,17250.97907497733,17252.904180826772,17483.877691798087,18612.466176816044,583.2975045236551,19533.95583081649,17278.669792902947,0.5279743062085227,0.46740489940743857,0.4340525023098268,0.47160192461335926,0.875834194062653,0.055243565382546156,0.5019940980686054
